"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"33","61 as bus_stop","[0.6,0.7999999999999999,1.0,1.0]","[0.00056803508581919,0.00056803508581919,0.00056803508581919,0.00056803508581919]","228.0","0","{42.63000000000011,16.860000000000582,0.0}","'wedge33'","54 as bus_stop","1.0","604","4","2","0","0.00132541520024477"
"34","72 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00019557348349476,0.00019557348349476,0.00019557348349476,0.00019557348349476]","78.5","0","{35.150000000000546,3.290000000000873,0.0}","'wedge34'","366 as bus_stop","1.0","216","2","3","0","0.00045633812815445"
"35","413 as bus_stop","[0.1,1.0,1.0,1.0]","[0.00637046365982308,0.00637046365982308,0.00637046365982308,0.00637046365982308]","2557.0","1","{35.05499999999938,41.375,0.0}","'wedge35'","305 as bus_stop","1.0","244","15","20","0","0.01486441520625385"
"36","45 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00065897052718936,0.00065897052718936,0.00065897052718936,0.00065897052718936]","264.5","0","{60.29500000000007,14.579999999998108,0.0}","'wedge36'","32 as bus_stop","1.0","2011","2","6","0","0.00153759789677518"
"37","213 as bus_stop","[1.0,1.0,0.7,1.0]","[0.00084333279188506,0.00084333279188506,0.00084333279188506,0.00084333279188506]","338.5","0","{51.42500000000018,22.514999999999418,0.0}","'wedge37'","331 as bus_stop","1.0","457","0","1","0","0.00196777651439849"
"38","6 as bus_stop","[1.0,0.5,1.0,0.7]","[0.00001494829173208,0.00001494829173208,0.00001494829173208,0.00001494829173208]","6.0","0","{19.725000000000364,32.4900000000016,0.0}","'wedge38'","5 as bus_stop","1.0","1595","0","2","0","0.00003487934737486"
"39","376 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00063903947154659,0.00063903947154659,0.00063903947154659,0.00063903947154659]","256.5","0","{71.3100000000004,46.22999999999956,0.0}","'wedge39'","145 as bus_stop","1.0","1015","4","4","0","0.00149109210027537"
"40","263 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00563799736495097,0.00563799736495097,0.00563799736495097,0.00563799736495097]","2263.0","1","{61.835000000000036,23.94499999999971,0.0}","'wedge40'","415 as bus_stop","1.0","437","23","26","0","0.01315532718488559"
"41","11 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00089938888588038,0.00089938888588038,0.00089938888588038,0.00089938888588038]","361.0","0","{69.75500000000011,39.98500000000058,0.0}","'wedge41'","12 as bus_stop","1.0","931","4","5","0","0.00209857406705422"
"42","371 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00189843304997465,0.00189843304997465,0.00189843304997465,0.00189843304997465]","762.0","0","{77.30000000000018,47.5,0.0}","'wedge42'","200 as bus_stop","1.0","813","3","6","0","0.00442967711660752"
