"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"33","61 as bus_stop","[1.0,1.0,1.0,1.0]","[0.8600338500491291,1.1080759577452393,1.0756218501962156,0.6954451617647945]","228.0","0","{42.63000000000011,16.860000000000582,0.0}","'wedge33'","54 as bus_stop","1.0","604","6","6","0","0.9736232264707124"
"34","72 as bus_stop","[0.4,1.0,0.9999999999999999,0.5]","[0.19009576150841154,0.26645901613144873,0.3541955214430233,0.21446701298384901]","78.5","0","{35.150000000000546,3.290000000000873,0.0}","'wedge34'","366 as bus_stop","0.5","216","2","0","0","0.0"
"35","413 as bus_stop","[1.0,1.0,1.0,1.0]","[4.777174986477197,6.735165752092938,7.575764251198527,5.111046429746952]","2557.0","1","{35.05499999999938,41.375,0.0}","'wedge35'","305 as bus_stop","1.0","244","15","22","0","7.9908746211272135"
"36","45 as bus_stop","[1.0,1.0,0.7,1.0]","[0.4360051403224022,0.5212575420614193,0.5553585027570263,0.3921610479994789]","264.5","0","{60.29500000000007,14.579999999998108,0.0}","'wedge36'","32 as bus_stop","1.0","2011","3","1","0","0.17050480347803434"
"37","213 as bus_stop","[1.0,1.0,1.0,0.5999999999999999]","[0.2380082914724037,0.36230151035243674,0.44692668065373586,0.26974273033539087]","338.5","0","{51.42500000000018,22.514999999999418,0.0}","'wedge37'","331 as bus_stop","1.0","457","4","0","0","0.0"
"38","6 as bus_stop","[1.0,1.0,1.0,1.0]","[0.02758081495216126,0.03861314093302576,0.03861314093302575,0.03378649831639754]","6.0","0","{19.725000000000364,32.4900000000016,0.0}","'wedge38'","5 as bus_stop","1.0","1595","3","0","0","0.0"
"39","376 as bus_stop","[0.0,1.0,1.0,0.09999999999999998]","[0.7666896423275319,0.9161700128442204,1.0005540929746093,0.6099763506568098]","256.5","0","{71.3100000000004,46.22999999999956,0.0}","'wedge39'","145 as bus_stop","0.5","1015","4","7","0","1.181377121825442"
"40","263 as bus_stop","[0.8999999999999999,0.0,0.7999999999999999,0.0]","[6.087833183805102,7.33329823777505,7.995885646487061,4.991823936311549]","2263.0","1","{61.835000000000036,23.94499999999971,0.0}","'wedge40'","415 as bus_stop","1.0","437","20","25","0","8.718255377789632"
"41","11 as bus_stop","[0.8999999999999999,1.0,1.0,1.0]","[0.494443695129912,0.6079225759793999,0.629537600903112,0.42689674224331187]","361.0","0","{69.75500000000011,39.98500000000058,0.0}","'wedge41'","12 as bus_stop","1.0","931","2","2","0","0.37826293616495993"
"42","371 as bus_stop","[0.8999999999999999,1.0,1.0,0.7]","[1.3586296155363027,1.5041970743437638,1.739877721936796,1.1888009135942648]","762.0","0","{77.30000000000018,47.5,0.0}","'wedge42'","200 as bus_stop","0.5","813","5","10","0","2.4261243134576835"
"43","279 as bus_stop","[1.0,1.0,0.9999999999999999,1.0]","[4.236982314388923,5.132379448366537,5.173918490664468,3.40620146843031]","1799.5","0","{62.99499999999989,34.87000000000262,0.0}","'wedge43'","35 as bus_stop","1.0","967","15","13","0","4.200058721235206"
"44","391 as bus_stop","[0.0,1.0,1.0,0.5]","[7.380740306747748,5.7951289303637274,6.343354961151184,11.789491823763242]","6621.0","2","{59.970000000000255,34.66500000000087,0.0}","'wedge44'","129 as bus_stop","1.0","277","52","63","0","31.42267390369226"
"45","418 as bus_stop","[1.0,1.0,1.0,1.0]","[0.7648492640101878,1.0707889696142627,1.2237588224163,0.7626639803987301]","191.0","0","{62.339999999999236,40.720000000001164,0.0}","'wedge45'","89 as bus_stop","1.0","560","3","15","0","2.294547792030563"
"46","106 as bus_stop","[0.7999999999999998,0.7999999999999999,0.9999999999999999,1.0]","[0.4315361663559534,0.49058848385729437,0.5042159417422192,0.354313905008046]","1715.5","0","{60.75,26.70499999999811,0.0}","'wedge46'","39 as bus_stop","1.0","508","1","1","0","0.317974017314913"
"47","199 as bus_stop","[0.30000000000000004,0.0,0.7999999999999999,0.0]","[6.555453747415406,7.806238789511704,8.67173736774798,5.6676197219988405]","3186.5","1","{61.534999999999854,23.68499999999767,0.0}","'wedge47'","398 as bus_stop","1.0","439","13","26","0","10.162628467032402"
"48","32 as bus_stop","[1.0,1.0,1.0,0.8999999999999999]","[0.15219029283785646,0.18093734815167375,0.1826283514054277,0.1572633025991183]","88.5","0","{63.57999999999993,12.7599999999984,0.0}","'wedge48'","43 as bus_stop","1.0","2011","1","0","0","0.0"
"49","342 as bus_stop","[1.0,1.0,1.0,1.0]","[0.12313082402776815,0.15488153965757,0.16185120894216062,0.09834977768255694]","8.5","0","{60.44000000000051,8.694999999999709,0.0}","'wedge49'","98 as bus_stop","1.0","645","2","2","0","0.10841707776029902"
"50","59 as bus_stop","[1.0,1.0,1.0,0.7999999999999999]","[0.3518718296526161,0.45896325606862964,0.5335447851797819,0.30597550404575313]","128.0","0","{48.409999999999854,16.860000000000582,0.0}","'wedge50'","62 as bus_stop","1.0","604","3","4","0","0.535457132080068"
"51","84 as bus_stop","[1.0,1.0,1.0,1.0]","[0.8281246412854,0.9602721904266874,1.0601170053334374,0.7958219070508632]","463.5","0","{25.110000000000582,39.965000000000146,0.0}","'wedge51'","381 as bus_stop","1.0","639","4","8","0","1.644502833758241"
"52","355 as bus_stop","[0.0,0.0,0.0,0.0]","[0.20024430048339534,0.00493316714140994,0.00625293900698347,0.04347049470955625]","4772.5","2","{25.69499999999971,33.0099999999984,0.0}","'wedge52'","127 as bus_stop","0.5","35","34","34","2","0.42264683347972065"
"53","171 as bus_stop","[1.0,1.0,1.0,1.0]","[1.9074396142561343,2.239421470783156,2.5830518135041087,1.5987547301169736]","452.0","0","{33.72999999999956,45.93000000000029,0.0}","'wedge53'","149 as bus_stop","1.0","560","11","9","0","1.834636575544068"
